AP_MAC;AP_name;AP_address;AP_location
"	8866-3904-1f80";"	UPO12-B01-FL07-AP-22";"	10.14.1.43";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 7
"	8866-3904-02c0";"	UPO12-B01-FL02-AP-31";"	10.14.1.44";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	8866-3904-01a0";"	UPO12-B01-FL02-AP-29";"	10.14.1.45";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	04b0-e749-e3a0";"	UPO12-B01-FL05-AP-23";"	10.14.1.46";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 5
"	04b0-e749-e7e0";"	04b0-e749-e7e0";"	10.14.1.47";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1
"	04b0-e749-ed00";"	UPO12-B01-FL03-AP-10";"	10.14.1.48";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 3
"	8866-3903-e260";"	8866-3903-e260";"	10.14.1.49";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1
"	8866-3904-0540";"	UPO12-B01-FL04-AP-01";"	10.14.1.5";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 4
"	8866-3904-2600";"	UPO12-B01-FL06-AP-20";"	10.14.1.50";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 6
"	8866-3903-fdc0";"	UPO12-B01-FL07-AP-08";"	10.14.1.51";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 7
"	8866-3904-0f80";"	UPO12-B01-FL02-AP-24";"	10.14.1.52";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	8866-3904-0260";"	UPO12-B01-FL02-AP-14";"	10.14.1.53";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	8866-3904-0400";"	UPO12-B01-FL05-AP-20";"	10.14.1.54";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 5
"	8866-3903-f4c0";"	UPO12-B01-FL04-AP-13";"	10.14.1.55";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 4
"	04b0-e749-e760";"	UPO12-B01-FL03-AP-03";"	10.14.1.56";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 3
"	8866-3904-1fe0";"	8866-3904-1fe0";"	10.14.1.57";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1
"	8866-3904-0580";"	UPO12-B01-FL02-AP-28";"	10.14.1.58";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	04b0-e749-e460";"	UPO12-B01-FL04-AP-27";"	10.14.1.59";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 4
"	8866-3904-22c0";"	UPO12-B01-FL04-AP-16";"	10.14.1.6";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 4
"	8866-3904-01e0";"	UPO12-B01-FL02-AP-13";"	10.14.1.60";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	8866-3904-03c0";"	UPO12-B01-FL02-AP-17";"	10.14.1.61";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	8866-3904-0700";"	UPO12-B01-FL05-AP-19";"	10.14.1.62";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 5
"	8866-3903-fc20";"	UPO12-B01-FL02-AP-01";"	10.14.1.63";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	04b0-e749-eae0";"	UPO12-B01-FL06-AP-16";"	10.14.1.64";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 6
"	8866-3903-dd60";"	UPO12-B01-FL07-AP-10";"	10.14.1.65";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 7
"	8866-3904-2380";"	UPO12-B01-FL04-AP-07";"	10.14.1.66";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 4
"	04b0-e749-e740";"	UPO12-B01-FL03-AP-05";"	10.14.1.67";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 3
"	04b0-e74a-18a0";"	UPO12-B01-FL05-AP-25";"	10.14.1.68";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 5
"	8866-3904-2040";"	UPO12-B01-FL07-AP-28";"	10.14.1.69";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 7
"	8866-3904-0460";"	UPO12-B01-FL06-AP-09";"	10.14.1.7";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 6
"	8866-3904-0940";"	UPO12-B01-FL07-AP-04";"	10.14.1.72";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 7
"	8866-3904-22e0";"	UPO12-B01-FL04-AP-14";"	10.14.1.74";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 4
"	04b0-e749-ec80";"	UPO12-B01-FL03-AP-14";"	10.14.1.75";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 3
"	8866-3904-0480";"	UPO12-B01-FL02-AP-30";"	10.14.1.76";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	04b0-e749-e340";"	04b0-e749-e340";"	10.14.1.77";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1
"	8866-3904-26a0";"	UPO12-B01-FL06-AP-12";"	10.14.1.78";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 6
"	04b0-e749-eb60";"	UPO12-B01-FL06-AP-17";"	10.14.1.79";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 6
"	8866-3904-2300";"	UPO12-B01-FL04-AP-18";"	10.14.1.8";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 4
"	745a-aae4-2840";"	745a-aae4-2840";"	10.14.1.80";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1
"	8866-3903-e240";"	UPO12-B01-FL07-AP-16";"	10.14.1.81";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 7
"	04b0-e749-ee00";"	UPO12-B01-FL06-AP-15";"	10.14.1.82";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 6
"	8866-3904-0240";"	UPO12-B01-FL02-AP-12";"	10.14.1.83";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	8866-3904-0660";"	UPO12-B01-FL07-AP-19";"	10.14.1.84";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 7
"	04b0-e749-e680";"	UPO12-B01-FL03-AP-21";"	10.14.1.85";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 3
"	04b0-e749-eaa0";"	UPO12-B01-FL06-AP-04";"	10.14.1.86";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 6
"	8866-3904-02a0";"	UPO12-B01-FL02-AP-27";"	10.14.1.87";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	8866-3904-0840";"	8866-3904-0840";"	10.14.1.89";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1
"	04b0-e74a-16c0";"	UPO12-B01-FL05-AP-14";"	10.14.1.9";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 5
"	8866-3904-0740";"	UPO12-B01-FL04-AP-22";"	10.14.1.90";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 4
"	04b0-e749-e660";"	04b0-e749-e660";"	10.14.1.91";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1
"	0425-c58b-96e0";"	UPO12-B01-FL05-AP-08";"	10.14.1.92";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 5
"	04b0-e74a-18e0";"	UPO12-B01-FL05-AP-09";"	10.14.1.93";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 5
"	04b0-e749-e4a0";"	04b0-e749-e4a0";"	10.14.1.94";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1
"	8866-3904-1fa0";"	UPO12-B01-FL07-AP-01";"	10.14.1.95";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 7
