38:0e:4d:f6:9d:02,PKL-C-FL10-AP11,10.14.39.96
00:5d:73:2b:bb:0e,PKL-B-FL12-AP10,10.14.38.25
28:ac:9e:52:78:a6,PKL-A-FL08-AP13,10.14.33.130
38:0e:4d:93:93:3c,PKL-C-FL01-AP10,10.14.39.88
28:ac:9e:52:67:68,PKL-B-FL02-AP10,10.14.36.202
38:0e:4d:bf:4b:c8,PKL-C-FL13-AP10,10.14.39.176
4c:77:6d:e2:16:4e,PKL-A-FL02-AP02,10.14.32.6
50:1c:b0:50:2f:48,TUL-KOM-31-FL03-AP19,100.107.208.180
50:1c:b0:50:26:70,TUL-KOM-31-FL04-AP14,100.107.208.204
38:0e:4d:f6:a5:c8,PKL-B-FL09-AP01,10.14.37.138
00:fc:ba:2a:06:c8,PKL-A-FL11-AP07,10.14.34.68
50:1c:b0:50:28:e0,TUL-KOM-31-FL02-AP11,100.107.208.148
4c:77:6d:21:53:48,PKL-C-FL03-AP15,10.14.38.88
70:7d:b9:56:88:26,PKL-C-FL07-AP11,10.14.38.221
b4:de:31:81:ec:72,PKL-A-FL18-AP09,10.14.36.3
00:fc:ba:75:42:d8,PKL-A-FL13-AP15,10.14.34.204
70:70:8b:ef:33:54,PKL-B-FL11-AP12,10.14.37.198
38:0e:4d:6f:d5:1e,PKL-C-FL09-AP14,10.14.39.8
50:1c:b0:54:59:b0,SML-001-FL-04-AP-04,100.107.180.12
b4:de:31:82:1f:0e,PKL-B-FL12-AP03,10.14.38.8
b4:de:31:81:ec:46,PKL-A-FL02-AP08,10.14.32.7
28:ac:9e:52:6b:02,PKL-A-FL03-AP04,10.14.32.75
28:ac:9e:d2:af:44,PKL-A-FL19-AP07,10.14.36.75
4c:77:6d:e2:2d:38,PKL-A-FL20-AP14,10.14.36.138
28:ac:9e:52:87:02,PKL-B-FL03-AP14,10.14.36.218
6c:b2:ae:f6:fb:fa,PKL-B-FL03-AP09,10.14.36.215
4c:77:6d:e2:30:fe,PKL-A-FL11-AP13,10.14.34.69
50:1c:b0:50:3d:98,TUL-KOM-31-FL03-AP02,100.107.208.132
38:0e:4d:bf:4b:6c,PKL-C-FL12-AP13,10.14.39.152
