UPO12-B01-FL06-AP-06, 8866-3904-26c0, 10.14.1.11 
UPO12-B01-FL04-AP-08, 04b0-e749-ecc0, 10.14.1.37 
UPO12-B01-FL07-AP-27, 8866-3904-0560, 10.14.1.20 
UPO12-B01-FL05-AP-06, 04b0-e74a-20c0, 10.14.1.36 
UPO12-B01-CH-FL03-AP-03, 9835-ed80-1880, 10.14.1.5 
UPO12-B01-FL04-AP-16, 8866-3904-22c0, 10.14.1.26 
UPO12-B01-CH-FL03-AP-04, 9835-ed80-18a0, 10.14.1.6 
UPO12-B01-CH-FL03-AP-07, 9835-ed80-1220, 10.14.1.248 
UPO12-B01-FL03-AP-12, 04b0-e749-ed60, 10.14.1.30 
UPO12-B01-FL06-AP-12, 8866-3904-26a0, 10.14.1.220 
UPO12-B01-FL03-AP-04, 8866-3904-2360, 10.14.1.18 
UPO12-B01-FL12-AP-18, 8866-3903-f820, 10.14.2.7 
UPO12-B01-FL07-AP-24, 8866-3903-de20, 10.14.1.227 
UPO12-B01-FL02-AP-27, 8866-3904-02a0, 10.14.1.224 
UPO12-B01-FL02-AP-22, 8866-3904-04a0, 10.14.1.21 
UPO12-B01-FL11-AP-18, 8866-3904-19c0, 10.14.2.5 
UPO12-B01-FL05-AP-20, 8866-3904-0400, 10.14.1.237 
UPO12-B01-CH-FL03-AP-02, 9835-ed80-18e0, 10.14.1.7 
UPO12-B01-FL03-AP-06, 04b0-e749-e700, 10.14.1.12 
UPO12-B01-CH-FL03-AP-05, 9835-ed80-1820, 10.14.1.3 
UPO12-B01-FL05-AP-22, 04b0-e74a-17e0, 10.14.1.13 
UPO12-B01-FL05-AP-01, 0425-c58b-97e0, 10.14.1.236 
UPO12-B01-FL06-AP-22, 8866-3904-2480, 10.14.1.2 
UPO12-B01-FL02-AP-17, 8866-3904-03c0, 10.14.1.10 
UPO12-B01-FL07-AP-21, 8866-3903-e200, 10.14.1.4 
UPO12-B01-FL07-AP-02, 8866-3904-05c0, 10.14.1.23 
UPO12-B01-FL05-AP-26, 04b0-e74a-2180, 10.14.1.125 
NSB-8047-0001-CCC-AP.1820, 8866-3904-1820, 100.106.0.102 
UPO12-B01-FL07-AP-26, 8866-3904-0f40, 10.14.1.128 
8866-3904-06e0, 8866-3904-06e0, 10.14.1.131 
UPO12-B01-FL13-AP-26, 8866-3903-fca0, 10.14.2.36 
UPO12-B01-FL07-AP-32, 8866-3904-0880, 10.14.1.126 
UPO12-B01-FL04-AP-23, 8866-3904-0420, 10.14.1.9 
UPO12-B01-FL03-AP-15, 04b0-e749-ec40, 10.14.1.134 
