AP_MAC,AP_NAME,AP_ADDRESS,AP_LOCATION
70:b3:17:52:90:28,MSK-PPK-E-FL13_3-AP80,10.14.51.120,"Москва, Кутузовский просп., 32, Башня E, этаж 13"
f4:db:e6:c1:b9:da,MSK-PPK-E-FL13_1-AP26,10.14.50.233,"Москва, Кутузовский просп., 32, Башня E, этаж 13"
70:b3:17:41:1b:06,MSK-PPK-E-FL13_2-AP15,10.14.51.29,"Москва, Кутузовский просп., 32, Башня E, этаж 13"
70:b3:17:52:8e:14,MSK-PPK-E-FL13_3-AP66,10.14.51.109,"Москва, Кутузовский просп., 32, Башня E, этаж 13"
70:b3:17:52:a7:88,MSK-PPK-E-FL13_1-AP57,10.14.50.229,"Москва, Кутузовский просп., 32, Башня E, этаж 13"
00:2c:c8:99:5e:04,MSK-PPK-E-FL16_1-AP08,10.14.48.23,"Москва, Кутузовский просп., 32, Башня E, этаж 16"
2c:33:11:80:79:76,MSK-PPK-E-FL16_1-AP59,10.14.48.7,"Москва, Кутузовский просп., 32, Башня E, этаж 16"
70:b3:17:41:15:d4,MSK-PPK-E-FL14_1-AP10,10.14.50.37,"Москва, Кутузовский просп., 32, Башня E, этаж 14"
00:2c:c8:99:58:5a,MSK-PPK-E-FL16_4-AP51,10.14.48.207,"Москва, Кутузовский просп., 32, Башня E, этаж 16"
2c:33:11:80:72:f8,MSK-PPK-E-FL16_4-AP48,10.14.48.206,"Москва, Кутузовский просп., 32, Башня E, этаж 16"
2c:33:11:ed:45:9a,MSK-PPK-E-FL16_1-AP11,10.14.48.19,"Москва, Кутузовский просп., 32, Башня E, этаж 16"
2c:33:11:80:79:b8,MSK-PPK-E-FL16_2-AP38,10.14.49.7,"Москва, Кутузовский просп., 32, Башня E, этаж 16"
2c:33:11:85:dc:58,MSK-PPK-E-FL16_4-AP52,10.14.48.195,"Москва, Кутузовский просп., 32, Башня E, этаж 16"
2c:33:11:80:6d:40,MSK-PPK-E-FL16_4-AP45,10.14.48.199,"Москва, Кутузовский просп., 32, Башня E, этаж 16"
2c:33:11:80:79:b4,MSK-PPK-E-FL16_4-AP60,10.14.48.198,"Москва, Кутузовский просп., 32, Башня E, этаж 16"
2c:33:11:ed:41:40,MSK-PPK-E-FL16_2-AP39,10.14.49.2,"Москва, Кутузовский просп., 32, Башня E, этаж 16"
f4:db:e6:e3:bb:80,MSK-PPK-E-FL14_1-AP13,10.14.50.60,"Москва, Кутузовский просп., 32, Башня E, этаж 14"
2c:33:11:85:df:80,MSK-PPK-E-FL16_1-AP88,10.14.48.22,"Москва, Кутузовский просп., 32, Башня E, этаж 16"
2c:33:11:85:dc:e2,MSK-PPK-E-FL16_4-AP53,10.14.48.203,"Москва, Кутузовский просп., 32, Башня E, этаж 16"
70:b3:17:52:af:9a,MSK-PPK-E-FL14_1-AP51,10.14.50.57,"Москва, Кутузовский просп., 32, Башня E, этаж 14"
f4:db:e6:f1:41:50,MSK-PPK-E-FL14_1-AP41,10.14.50.49,"Москва, Кутузовский просп., 32, Башня E, этаж 14"
70:b3:17:0c:a0:50,MSK-PPK-E-FL14_1-AP55,10.14.50.41,"Москва, Кутузовский просп., 32, Башня E, этаж 14"
70:b3:17:41:1a:60,MSK-PPK-E-FL14_1-AP16_NEW,10.14.50.53,"Москва, Кутузовский просп., 32, Башня E, этаж 14"
70:b3:17:a2:99:bc,MSK-PPK-E-FL14_1-AP37,10.14.50.44,"Москва, Кутузовский просп., 32, Башня E, этаж 14"
70:b3:17:52:90:d8,MSK-PPK-E-FL14_1-AP36,10.14.50.33,"Москва, Кутузовский просп., 32, Башня E, этаж 14"
f4:db:e6:e3:a3:36,MSK-PPK-E-FL14_1-AP50,10.14.50.61,"Москва, Кутузовский просп., 32, Башня E, этаж 14"
f4:db:e6:e3:bb:70,MSK-PPK-E-FL14_1-AP08,10.14.50.1,"Москва, Кутузовский просп., 32, Башня E, этаж 14"
70:b3:17:41:18:b6,MSK-PPK-E-FL14_1-AP14,10.14.50.52,"Москва, Кутузовский просп., 32, Башня E, этаж 14"
70:b3:17:52:af:84,MSK-PPK-E-FL14_1-AP38,10.14.50.45,"Москва, Кутузовский просп., 32, Башня E, этаж 14"
f4:db:e6:f4:e9:56,MSK-PPK-E-FL14_1-AP57,10.14.50.36,"Москва, Кутузовский просп., 32, Башня E, этаж 14"
00:2c:c8:99:5e:3c,MSK-PPK-E-FL17-AP02,10.14.49.6,"Москва, Кутузовский просп., 32, Башня E, этаж 17"
2c:33:11:80:6d:52,MSK-PPK-E-FL17-AP04,10.14.49.10,"Москва, Кутузовский просп., 32, Башня E, этаж 17"
70:b3:17:52:ba:66,MSK-PPK-E-FL13_1-AP41,10.14.50.244,"Москва, Кутузовский просп., 32, Башня E, этаж 13"
70:b3:17:24:42:08,MSK-PPK-E-FL13_3-AP59,10.14.51.104,"Москва, Кутузовский просп., 32, Башня E, этаж 13"
f4:db:e6:e3:a6:46,MSK-PPK-E-FL03_4-AP18,10.14.61.91,"Москва, Кутузовский просп., 32, Башня E, этаж 3"
f4:db:e6:e3:b5:30,MSK-PPK-E-FL03_4-AP79,10.14.61.90,"Москва, Кутузовский просп., 32, Башня E, этаж 3"
70:b3:17:41:33:aa,MSK-PPK-E-FL03_1-AP54,10.14.60.162,"Москва, Кутузовский просп., 32, Башня E, этаж 3"
28:ac:9e:d2:d6:ce,MSK-PPK-E-FL03_2-AP93,10.14.60.223,"Москва, Кутузовский просп., 32, Башня E, этаж 3"
00:2c:c8:99:5e:44,MSK-PPK-E-FL16_3-AP67,10.14.48.134,"Москва, Кутузовский просп., 32, Башня E, этаж 16"
2c:33:11:80:6d:f6,MSK-PPK-E-FL16_3-AP74,10.14.48.142,"Москва, Кутузовский просп., 32, Башня E, этаж 16"
